"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;",,,,,,,";"buzzardLabel";8;"";;;
2;"";"Version1.0.0.";1;"";;;
3;"G***";"Logo-Back-OSH-3.5mm";1;"LOGO";;;
4;"REF**";"Logo-Back-SolderedFULL-17mm";1;"Logo-Front-SolderedFULL-17mm";;;
5;"G***";"Logo-Front-SolderedFULL-10mm";1;"LOGO";;;
6;"U1";"TPS55340";1;"TPS55340";;;
7;"C6";"0805C";1;"CL21B105KBFNFNE";;;
8;"R2";"0603R";1;"2K4";;;
9;"H1,H3,H4,H2";"HOLE_3.2mm";4;"HOLE_3.2mm";;;
10;"C9,C8,C1,C7";"1206C";4;"GRT31CR61H106KE01L";;;
11;"K4,K5,K6,K3";"HEADER_MALE_1X1";4;"HEADER_MALE_1X1";;;
12;"FD1";"FIDUCIAL_1MM_PASTE";1;"Fiducial_Stencil";;;
13;"L1";"Inductor_SMD_7x6.6";1;"PSPMAA0603-6R8M-ANF";;;
14;"K2,K1";"TERMINAL_KF235-5.0-2P";2;"TERMINAL_KF235-5.0-2P";;;
15;"D1";"M4_DIODA";1;"B540C-13-F";;;
16;"R4";"0603R";1;"10k";;;
17;"C5";"0603C";1;"100pF";;;
18;"JP1";"SMD-JUMPER-CONNECTED_TRACE_NOSLODERMASK";1;"SMD-JUMPER-CONNECTED_TRACE_NOSLODERMASK";;;
19;"R3";"tc33x-2-103e";1;"TC33X-2-204E";;;
20;"R1";"0603R";1;"78k7";;;
21;"D2";"0402LED";1;"purple";;;
22;"C4";"0603C";1;"100nF";;;
23;"R5";"0402R";1;"1k";;;
24;"C3";"0603C";1;"47nF";;;
25;"C2";"0603C";1;"CGA3E2X7R1H104K080AA";;;
